         572076071 function calls (532629626 primitive calls) in 248.305 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      291    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.001    0.000 {built-in method posix.listdir}
      283    0.002    0.000    0.002    0.000 {built-in method posix.stat}
  2776860    2.173    0.000    2.173    0.000 {built-in method pysolvers.minisat22_add_cl}
   260468    0.113    0.000    0.113    0.000 {built-in method pysolvers.minisat22_core}
   383028    1.159    0.000    1.159    0.000 {built-in method pysolvers.minisat22_del}
   122560    0.061    0.000    0.061    0.000 {built-in method pysolvers.minisat22_model}
   383028    0.326    0.000    0.326    0.000 {built-in method pysolvers.minisat22_new}
   505588    1.872    0.000    1.872    0.000 {built-in method pysolvers.minisat22_solve}
       16    0.000    0.000    0.000    0.000 {built-in method sys.intern}
  1011176    1.329    0.000    1.329    0.000 {built-in method time.process_time}
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
    24010    0.020    0.000    0.020    0.000 {method 'acquire' of '_thread.RLock' objects}
 38132423   13.569    0.000   17.747    0.000 {method 'add' of 'set' objects}
  8131892    1.617    0.000    1.617    0.000 {method 'append' of 'list' objects}
  2001660    0.718    0.000    0.718    0.000 {method 'copy' of 'dict' objects}
    24000    0.117    0.000    0.128    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    24004    0.098    0.000    0.098    0.000 {method 'extend' of 'list' objects}
   816616    0.694    0.000    0.694    0.000 {method 'format' of 'str' objects}
  5302033    1.123    0.000    1.123    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
   120223    0.048    0.000    0.048    0.000 {method 'index' of 'list' objects}
    72014    0.021    0.000    0.021    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
939179/742059    0.787    0.000    1.666    0.000 {method 'join' of 'str' objects}
 36123071    7.143    0.000    7.143    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
    24010    0.011    0.000    0.011    0.000 {method 'release' of '_thread.RLock' objects}
 19946375    5.513    0.000    5.513    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 {method 'sort' of 'list' objects}
 13273807    4.083    0.000    4.083    0.000 {method 'split' of 'str' objects}
    24002    0.479    0.000    0.479    0.000 {method 'splitlines' of 'str' objects}
      342    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    96072    0.038    0.000    0.038    0.000 {method 'strip' of 'str' objects}
    24000    0.112    0.000    0.113    0.000 {method 'union' of 'set' objects}
    24000    0.125    0.000    0.125    0.000 {method 'update' of 'dict' objects}
