"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"astar_length_4_tidybot-opt11-strips_pp01-err-rate-0-5.yaml","tidybot-opt11-strips/pp01-err-rate-0-5","4","0","13.16","5","2","True","0","0","0","7","10"
"astar_length_7_ged-opt14-strips_pd-4-2-err-rate-0-1.yaml","ged-opt14-strips/pd-4-2-err-rate-0-1","7","0","128.27","95","1.168421052631579","True","0","0","0","19","111"
"astar_length_5_mystery_pprob01-err-rate-0-5.yaml","mystery/pprob01-err-rate-0-5","5","0","159.89","7","18.142857142857142","True","0","0","0","123","127"
"astar_length_8_miconic_ps2-2-err-rate-0-1.yaml","miconic/ps2-2-err-rate-0-1","8","0","30.27","9","2.7777777777777777","True","0","0","0","18","25"
"astar_length_7_pegsol-08-strips_pp01-err-rate-0-5.yaml","pegsol-08-strips/pp01-err-rate-0-5","7","0","229.77","8","21.875","True","0","0","0","169","175"
"astar_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-3.yaml","blocks/pprobBLOCKS-4-0-err-rate-0-3","6","0","90.8","51","1.3137254901960784","True","0","0","0","18","67"
"astar_length_4_miconic_ps1-0-err-rate-0-5.yaml","miconic/ps1-0-err-rate-0-5","4","0","4.76","5","0.8","True","0","0","0","1","4"
"astar_length_1_visitall-opt11-strips_pproblem02-half-err-rate-0-5.yaml","visitall-opt11-strips/pproblem02-half-err-rate-0-5","1","0","0.37","2","2","True","0","0","0","4","4"
"astar_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-5.yaml","blocks/pprobBLOCKS-4-0-err-rate-0-5","6","0","89.48","51","1.3137254901960784","True","0","0","0","18","67"
"astar_length_1_ged-opt14-strips_pd-1-2-err-rate-0-1.yaml","ged-opt14-strips/pd-1-2-err-rate-0-1","1","0","0.12","2","0.5","True","0","0","0","1","1"
"astar_length_10_blocks_pprobBLOCKS-4-1-err-rate-0-1.yaml","blocks/pprobBLOCKS-4-1-err-rate-0-1","10","0","27.85","11","2.090909090909091","True","0","0","0","14","23"
"astar_length_7_ged-opt14-strips_pd-4-2-err-rate-0-3.yaml","ged-opt14-strips/pd-4-2-err-rate-0-3","7","0","125.3","95","1.168421052631579","True","0","0","0","19","111"
"astar_length_8_woodworking-sat08-strips_pp21-err-rate-0-1.yaml","woodworking-sat08-strips/pp21-err-rate-0-1","8","0","92.25","28","2.392857142857143","True","0","0","0","43","67"
